hotel_id,numero_habitacion,tipo
,0,Doble
78425,1,Matrimonial
,,Sencilla
78425,3,Triple
,4,Sencilla
78425,5,Matrimonial
78425,6,Sencilla
78425,7,Suite
78425,8,Triple
78425,9,Sencilla
78425,10,Matrimonial
78425,11,Doble
78425,12,Cuadruple
78425,13,Sencilla
78425,14,Sencilla
78425,15,Suite
78425,16,Sencilla
78425,17,Matrimonial
,18,Triple
78425,19,
,20,Sencilla
78425,21,Triple
78425,22,Matrimonial
78425,23,Matrimonial
78425,24,
78425,25,Cuadruple
78425,26,Doble
78425,,Triple
78425,,Doble
78425,29,
78425,30,Matrimonial
78425,31,
78425,,Cuadruple
78425,,Triple
,34,Triple
78425,35,
78425,36,Suite
78425,37,Cuadruple
78425,38,Matrimonial
,0,Triple
78432,1,Doble
78432,2,Cuadruple
78432,,Suite
78432,4,Triple
78432,5,Triple
78432,6,Suite
78432,7,Sencilla
78432,8,Triple
78432,9,Sencilla
78432,10,Matrimonial
78432,11,Sencilla
78432,12,Sencilla
78432,13,Triple
78432,14,Cuadruple
78432,15,Triple
78432,16,
78432,17,Suite
78432,18,Triple
78432,19,Triple
78432,20,Sencilla
78432,21,Cuadruple
78432,22,Sencilla
78432,23,Sencilla
78432,24,Cuadruple
78432,25,Doble
78432,26,Triple
78432,27,Doble
,1,Doble
,8,Matrimonial
,9,Sencilla
78448,13,
,20,Triple
78456,,Doble
78456,32,
78463,,Doble
78463,,
78468,3,
78468,,Sencilla
78468,25,
78468,,Sencilla
78468,31,
,32,Matrimonial
78476,0,Doble
78476,1,Doble
78476,2,Sencilla
78476,3,
78476,4,Doble
78476,5,Cuadruple
78476,6,Matrimonial
78476,7,Triple
78476,8,
78476,9,Sencilla
78476,10,Cuadruple
78476,11,Doble
78476,12,Doble
78476,13,Sencilla
78476,14,Triple
78476,15,Matrimonial
78476,16,Triple
78476,17,Cuadruple
78476,18,Sencilla
78476,19,Triple
78476,20,Doble
78476,21,Matrimonial
78476,22,Matrimonial
78476,23,Matrimonial
78476,24,Suite
78476,25,
78476,26,Sencilla
78476,27,Sencilla
78476,28,Sencilla
78476,29,Matrimonial
78476,30,Matrimonial
78476,31,Doble
78476,32,Cuadruple
78476,33,Cuadruple
78476,34,Doble
78476,,Doble
78476,36,Suite
78476,37,Sencilla
78476,38,Matrimonial
78483,0,Suite
78483,1,Doble
78483,2,Sencilla
78483,3,Triple
78483,4,Sencilla
78483,5,Doble
78483,6,Triple
78483,7,Doble
78483,,Triple
78483,9,Suite
78483,10,
78483,11,Matrimonial
,7,Triple
78510,8,
,10,Doble
78510,16,
78512,0,Doble
78512,1,Cuadruple
78512,2,Matrimonial
78512,3,Matrimonial
78512,4,Doble
78512,5,Cuadruple
,6,Cuadruple
78512,7,Triple
78512,8,Cuadruple
78512,9,Sencilla
78512,10,Suite
78512,11,Triple
78512,12,Sencilla
78512,13,Sencilla
78512,14,
78512,15,Suite
78512,16,Sencilla
78512,,Doble
78512,18,Sencilla
78512,19,Suite
78512,20,Sencilla
78512,21,Suite
,,Doble
78512,23,Doble
78512,24,Matrimonial
78512,25,Doble
78512,26,Cuadruple
78512,27,Matrimonial
78512,28,Matrimonial
,29,Matrimonial
78512,30,Suite
78512,31,Doble
78521,0,Suite
78521,1,Cuadruple
78521,2,Sencilla
78521,3,Suite
78521,4,Doble
78521,,Cuadruple
78521,6,Cuadruple
78521,7,Cuadruple
78521,8,Cuadruple
78521,9,Matrimonial
,10,Cuadruple
78521,11,Doble
78521,12,Sencilla
78521,13,Triple
78521,14,Doble
78521,15,Doble
78521,16,Triple
78521,17,Triple
78521,18,Doble
78521,19,Matrimonial
78521,20,Sencilla
78521,21,Cuadruple
,22,Sencilla
78521,23,Sencilla
78521,24,Matrimonial
78521,25,Sencilla
78521,26,
78521,27,Suite
78521,28,Matrimonial
,0,Sencilla
78531,1,Doble
78531,2,Doble
78531,3,Doble
78531,,Matrimonial
,5,Matrimonial
78531,6,Sencilla
78531,7,Cuadruple
,8,Suite
78531,9,Suite
,10,Triple
78531,11,Sencilla
78531,12,Matrimonial
78531,13,Cuadruple
78531,14,
78531,15,
78545,0,Sencilla
78545,1,Matrimonial
